date,time,team1Name,team1Points,team2Name,team2Points,venue,referee,totalPoints,result,extraTime,hour,day,month,year,season,team1Bps,team2Bps,team1Tries,team1Conversions,team1Penalties,team1DropGoals,team2Tries,team2Conversions,team2Penalties,team2DropGoals
29/Oct/2016,15:00,Leicester,10,Saracens,24,Allianz Park,Wayne Barnes,34,L,N,15,Sat,Oct,2016,2016-17,0,0,1,1,1,0,3,3,1,0
30/Oct/2016,14:30,Wasps,31,Newcastle,6,Ricoh Arena,Craig Maxwell-Keys,37,W,N,14,Sun,Oct,2016,2016-17,1,0,4,4,1,0,0,0,2,0
30/Oct/2016,14:30,Newcastle,6,Wasps,31,Ricoh Arena,Craig Maxwell-Keys,37,L,N,14,Sun,Oct,2016,2016-17,0,1,0,0,2,0,4,4,1,0
30/Oct/2016,15:00,Bristol,13,Sale,31,Ashton Gate,JP Doyle,44,L,N,15,Sun,Oct,2016,2016-17,0,1,1,1,2,0,5,3,0,0
30/Oct/2016,15:00,Sale,31,Bristol,13,Ashton Gate,JP Doyle,44,W,N,15,Sun,Oct,2016,2016-17,1,0,5,3,0,0,1,1,2,0
30/Oct/2016,15:00,Exeter,10,Bath,13,Sandy Park,Ian Tempest,23,L,N,15,Sun,Oct,2016,2016-17,1,0,1,1,1,0,1,1,2,0
30/Oct/2016,15:00,Bath,13,Exeter,10,Sandy Park,Ian Tempest,23,W,N,15,Sun,Oct,2016,2016-17,0,1,1,1,2,0,1,1,1,0
18/Nov/2016,19:45,Bath,16,Bristol,9,Recreation Ground,Ian Tempest,25,W,N,19,Fri,Nov,2016,2016-17,0,1,1,1,3,0,0,0,3,0
18/Nov/2016,19:45,Bristol,9,Bath,16,Recreation Ground,Ian Tempest,25,L,N,19,Fri,Nov,2016,2016-17,1,0,0,0,3,0,1,1,3,0
18/Nov/2016,19:45,Worcester,17,Northampton,18,Sixways,Greg MacDonald,35,L,N,19,Fri,Nov,2016,2016-17,1,0,2,2,1,0,0,0,6,0
18/Nov/2016,19:45,Northampton,18,Worcester,17,Sixways,Greg MacDonald,35,W,N,19,Fri,Nov,2016,2016-17,0,1,0,0,6,0,2,2,1,0
18/Nov/2016,20:00,Newcastle,19,Exeter,32,Kingston Park,Tim Wigglesworth,51,L,N,20,Fri,Nov,2016,2016-17,0,1,2,0,3,0,4,3,2,0
18/Nov/2016,20:00,Exeter,32,Newcastle,19,Kingston Park,Tim Wigglesworth,51,W,N,20,Fri,Nov,2016,2016-17,1,0,4,3,2,0,2,0,3,0
19/Nov/2016,15:00,Gloucester,36,Wasps,18,Kingsholm,Dean Richards,54,W,N,15,Sat,Nov,2016,2016-17,1,0,5,4,1,0,2,1,2,0
19/Nov/2016,15:00,Wasps,18,Gloucester,36,Kingsholm,Dean Richards,54,L,N,15,Sat,Nov,2016,2016-17,0,1,2,1,2,0,5,4,1,0
20/Nov/2016,13:00,Sale,13,Saracens,28,AJ Bell Stadium,Andrew Jackson,41,L,N,13,Sun,Nov,2016,2016-17,0,0,1,1,2,0,3,2,3,0
20/Nov/2016,13:00,Saracens,28,Sale,13,AJ Bell Stadium,Andrew Jackson,41,W,N,13,Sun,Nov,2016,2016-17,0,0,3,2,3,0,1,1,2,0
20/Nov/2016,15:00,Leicester,25,Harlequins,6,Welford Road,Craig Maxwell-Keys,31,W,N,15,Sun,Nov,2016,2016-17,0,0,1,1,5,1,0,0,2,0
20/Nov/2016,15:00,Harlequins,6,Leicester,25,Welford Road,Craig Maxwell-Keys,31,L,N,15,Sun,Nov,2016,2016-17,0,0,0,0,2,0,1,1,5,1
25/Nov/2016,19:45,Bristol,16,Leicester,21,Ashton Gate,Tim Wigglesworth,37,L,N,19,Fri,Nov,2016,2016-17,1,0,1,1,3,0,2,1,3,0
25/Nov/2016,19:45,Leicester,21,Bristol,16,Ashton Gate,Tim Wigglesworth,37,W,N,19,Fri,Nov,2016,2016-17,0,1,2,1,3,0,1,1,3,0
25/Nov/2016,19:45,Northampton,16,Newcastle,22,Franklin's Gardens,Andrew Jackson,38,L,N,19,Fri,Nov,2016,2016-17,1,0,1,1,3,0,3,2,1,0
25/Nov/2016,19:45,Newcastle,22,Northampton,16,Franklin's Gardens,Andrew Jackson,38,W,N,19,Fri,Nov,2016,2016-17,0,1,3,2,1,0,1,1,3,0
26/Nov/2016,16:30,Exeter,57,Worcester,22,Sandy Park,Matthew O’Grady,79,W,N,16,Sat,Nov,2016,2016-17,1,0,8,7,1,0,3,2,1,0
26/Nov/2016,16:30,Worcester,22,Exeter,57,Sandy Park,Matthew O’Grady,79,L,N,16,Sat,Nov,2016,2016-17,0,1,3,2,1,0,8,7,1,0
27/Nov/2016,13:00,Saracens,24,Gloucester,20,Allianz Park,Greg MacDonald,44,W,N,13,Sun,Nov,2016,2016-17,0,1,2,1,4,0,2,2,2,0
27/Nov/2016,13:00,Gloucester,20,Saracens,24,Allianz Park,Greg MacDonald,44,L,N,13,Sun,Nov,2016,2016-17,1,0,2,2,2,0,2,1,4,0
27/Nov/2016,14:30,Wasps,34,Sale,24,Ricoh Arena,Tom Foley,58,W,N,14,Sun,Nov,2016,2016-17,1,0,5,3,1,0,3,3,1,0
27/Nov/2016,14:30,Sale,24,Wasps,34,Ricoh Arena,Tom Foley,58,L,N,14,Sun,Nov,2016,2016-17,0,1,3,3,1,0,5,3,1,0
27/Nov/2016,15:00,Harlequins,21,Bath,20,Twickenham Stoop,Dean Richards,41,W,N,15,Sun,Nov,2016,2016-17,0,1,2,1,3,0,2,2,2,0
27/Nov/2016,15:00,Bath,20,Harlequins,21,Twickenham Stoop,Dean Richards,41,L,N,15,Sun,Nov,2016,2016-17,1,0,2,2,2,0,2,1,3,0
02/Dec/2016,19:45,Sale,3,Exeter,21,AJ Bell Stadium,Wayne Barnes,24,L,N,19,Fri,Dec,2016,2016-17,0,0,0,0,1,0,3,3,0,0
02/Dec/2016,19:45,Exeter,21,Sale,3,AJ Bell Stadium,Wayne Barnes,24,W,N,19,Fri,Dec,2016,2016-17,0,0,3,3,0,0,0,0,1,0
03/Dec/2016,12:15,Bath,14,Saracens,11,Recreation Ground,Greg Garner,25,W,N,12,Sat,Dec,2016,2016-17,0,1,1,0,3,0,1,0,1,1
03/Dec/2016,12:15,Saracens,11,Bath,14,Recreation Ground,Greg Garner,25,L,N,12,Sat,Dec,2016,2016-17,1,0,1,0,1,1,1,0,3,0
03/Dec/2016,16:30,Gloucester,26,Bristol,18,Kingsholm,Matthew Carley,44,W,N,16,Sat,Dec,2016,2016-17,1,0,4,3,0,0,2,1,2,0
03/Dec/2016,16:30,Bristol,18,Gloucester,26,Kingsholm,Matthew Carley,44,L,N,16,Sat,Dec,2016,2016-17,0,1,2,1,2,0,4,3,0,0
03/Dec/2016,17:00,Leicester,19,Northampton,11,Welford Road,JP Doyle,30,W,N,17,Sat,Dec,2016,2016-17,0,0,1,1,4,0,1,0,2,0
03/Dec/2016,17:00,Northampton,11,Leicester,19,Welford Road,JP Doyle,30,L,N,17,Sat,Dec,2016,2016-17,0,0,1,0,2,0,1,1,4,0
04/Dec/2016,15:00,Newcastle,38,Harlequins,32,Kingston Park,Ian Tempest,70,W,N,15,Sun,Dec,2016,2016-17,1,2,6,4,0,0,4,3,2,0
04/Dec/2016,15:00,Harlequins,32,Newcastle,38,Kingston Park,Ian Tempest,70,L,N,15,Sun,Dec,2016,2016-17,2,1,4,3,2,0,6,4,0,0
04/Dec/2016,15:00,Worcester,12,Wasps,26,Sixways,Craig Maxwell-Keys,38,L,N,15,Sun,Dec,2016,2016-17,0,0,0,0,4,0,2,2,4,0
04/Dec/2016,15:00,Wasps,26,Worcester,12,Sixways,Craig Maxwell-Keys,38,W,N,15,Sun,Dec,2016,2016-17,0,0,2,2,4,0,0,0,4,0
23/Dec/2016,19:45,Northampton,24,Sale,5,Franklin's Gardens,Greg Garner,29,W,N,19,Fri,Dec,2016,2016-17,0,0,3,3,1,0,1,0,0,0
23/Dec/2016,19:45,Sale,5,Northampton,24,Franklin's Gardens,Greg Garner,29,L,N,19,Fri,Dec,2016,2016-17,0,0,1,0,0,0,3,3,1,0
24/Dec/2016,13:30,Saracens,21,Newcastle,6,Allianz Park,Matthew Carley,27,W,N,13,Sat,Dec,2016,2016-17,0,0,2,1,3,0,0,0,2,0
24/Dec/2016,13:30,Newcastle,6,Saracens,21,Allianz Park,Matthew Carley,27,L,N,13,Sat,Dec,2016,2016-17,0,0,0,0,2,0,2,1,3,0
24/Dec/2016,14:00,Wasps,40,Bath,26,Ricoh Arena,Luke Pearce,66,W,N,14,Sat,Dec,2016,2016-17,1,1,4,4,4,0,4,3,0,0
24/Dec/2016,14:00,Bath,26,Wasps,40,Ricoh Arena,Luke Pearce,66,L,N,14,Sat,Dec,2016,2016-17,1,1,4,3,0,0,4,4,4,0
24/Dec/2016,15:00,Exeter,31,Leicester,10,Sandy Park,Tom Foley,41,W,N,15,Sat,Dec,2016,2016-17,1,0,4,4,1,0,2,0,0,0
24/Dec/2016,15:00,Leicester,10,Exeter,31,Sandy Park,Tom Foley,41,L,N,15,Sat,Dec,2016,2016-17,0,1,2,0,0,0,4,4,1,0
26/Dec/2016,15:00,Bristol,28,Worcester,20,Ashton Gate,Wayne Barnes,48,W,N,15,Mon,Dec,2016,2016-17,0,0,3,2,3,0,2,2,2,0
26/Dec/2016,15:00,Worcester,20,Bristol,28,Ashton Gate,Wayne Barnes,48,L,N,15,Mon,Dec,2016,2016-17,0,0,2,2,2,0,3,2,3,0
27/Dec/2016,16:00,Harlequins,28,Gloucester,24,Twickenham Stadium,JP Doyle,52,W,N,16,Tue,Dec,2016,2016-17,0,1,3,2,3,0,3,3,1,0
27/Dec/2016,16:00,Gloucester,24,Harlequins,28,Twickenham Stadium,JP Doyle,52,L,N,16,Tue,Dec,2016,2016-17,1,0,3,3,1,0,3,2,3,0
30/Dec/2016,19:45,Newcastle,30,Wasps,34,Kingston Park,Tom Foley,64,L,N,19,Fri,Dec,2016,2016-17,2,1,4,2,2,0,4,4,2,0
30/Dec/2016,19:45,Wasps,34,Newcastle,30,Kingston Park,Tom Foley,64,W,N,19,Fri,Dec,2016,2016-17,1,2,4,4,2,0,4,2,2,0
31/Dec/2016,15:00,Bath,11,Exeter,17,Recreation Ground,Craig Maxwell-Keys,28,L,N,15,Sat,Dec,2016,2016-17,1,0,1,0,2,0,2,2,1,0
31/Dec/2016,15:00,Exeter,17,Bath,11,Recreation Ground,Craig Maxwell-Keys,28,W,N,15,Sat,Dec,2016,2016-17,0,1,2,2,1,0,1,0,2,0
01/Jan/2017,14:30,Sale,23,Bristol,24,AJ Bell Stadium,Ian Tempest,47,L,N,14,Sun,Jan,2017,2016-17,1,0,3,1,2,0,3,3,1,0
