date,time,team1Name,team1Points,team2Name,team2Points,venue,teamType,referee,totalPoints,result,extraTime,hour,day,month,year,season,team1Bps,team2Bps,team1Tries,team1Conversions,team1Penalties,team1DropGoals,team2Tries,team2Conversions,team2Penalties,team2DropGoals
25/Sep/2022,15:00,Exeter,43,Harlequins,42,Sandy Park,home,Ian Tempest,85,W,N,15,Sun,Sep,2022,2022-23,1,2,6,5,1,0,6,6,0,0
25/Sep/2022,15:00,Harlequins,42,Exeter,43,Sandy Park,away,Ian Tempest,85,L,N,15,Sun,Sep,2022,2022-23,2,1,6,6,0,0,6,5,1,0
30/Sep/2022,19:45,Newcastle,30,Bristol,15,Kingston Park,home,Luke Pearce,45,W,N,19,Fri,Sep,2022,2022-23,1,0,4,2,2,0,2,1,1,0
30/Sep/2022,19:45,Bristol,15,Newcastle,30,Kingston Park,away,Luke Pearce,45,L,N,19,Fri,Sep,2022,2022-23,0,1,2,1,1,0,4,2,2,0
01/Oct/2022,15:00,Gloucester,Cancelled,Worcester,Cancelled,Kingsholm,home,Unknown,N/A,N/A,N,15,Sat,Oct,2022,2022-23,0,0,0,0,0,0,0,0,0,0
01/Oct/2022,15:00,Worcester,Cancelled,Gloucester,Cancelled,Kingsholm,away,Unknown,N/A,N/A,N,15,Sat,Oct,2022,2022-23,0,0,0,0,0,0,0,0,0,0
01/Oct/2022,15:00,London Irish,47,Bath,38,Gtech Community Stadium,home,Karl Dickson,85,W,N,15,Sat,Oct,2022,2022-23,1,1,7,6,0,0,6,4,0,0
01/Oct/2022,15:00,Bath,38,London Irish,47,Gtech Community Stadium,away,Karl Dickson,85,L,N,15,Sat,Oct,2022,2022-23,1,1,6,4,0,0,7,6,0,0
01/Oct/2022,15:00,Sale,28,Exeter,20,AJ Bell Stadium,home,Wayne Barnes,48,W,N,15,Sat,Oct,2022,2022-23,0,0,3,2,3,0,2,2,2,0
01/Oct/2022,15:00,Exeter,20,Sale,28,AJ Bell Stadium,away,Wayne Barnes,48,L,N,15,Sat,Oct,2022,2022-23,0,0,2,2,2,0,3,2,3,0
01/Oct/2022,15:00,Saracens,51,Leicester,18,StoneX Stadium,home,Matthew Carley,69,W,N,15,Sat,Oct,2022,2022-23,1,0,7,5,2,0,2,1,2,0
01/Oct/2022,15:00,Leicester,18,Saracens,51,StoneX Stadium,away,Matthew Carley,69,L,N,15,Sat,Oct,2022,2022-23,0,1,2,1,2,0,7,5,2,0
02/Oct/2022,15:00,Harlequins,35,Northampton,29,Twickenham Stoop,home,Christophe Ridley,64,W,N,15,Sun,Oct,2022,2022-23,1,2,5,5,0,0,4,3,1,0
02/Oct/2022,15:00,Northampton,29,Harlequins,35,Twickenham Stoop,away,Christophe Ridley,64,L,N,15,Sun,Oct,2022,2022-23,2,1,4,3,1,0,5,5,0,0
07/Oct/2022,19:45,Bristol,14,Exeter,50,Ashton Gate,home,Christophe Ridley,64,L,N,19,Fri,Oct,2022,2022-23,0,1,2,2,0,0,7,6,1,0
07/Oct/2022,19:45,Exeter,50,Bristol,14,Ashton Gate,away,Christophe Ridley,64,W,N,19,Fri,Oct,2022,2022-23,1,0,7,6,1,0,2,2,0,0
08/Oct/2022,15:00,Bath,17,Gloucester,21,Recreation Ground,home,Tom Foley,38,L,N,15,Sat,Oct,2022,2022-23,1,0,3,1,0,0,3,3,0,0
08/Oct/2022,15:00,Gloucester,21,Bath,17,Recreation Ground,away,Tom Foley,38,W,N,15,Sat,Oct,2022,2022-23,0,1,3,3,0,0,3,1,0,0
08/Oct/2022,15:00,Leicester,16,Sale,26,Welford Road,home,Luke Pearce,42,L,N,15,Sat,Oct,2022,2022-23,0,1,1,1,3,0,4,3,0,0
08/Oct/2022,15:00,Sale,26,Leicester,16,Welford Road,away,Luke Pearce,42,W,N,15,Sat,Oct,2022,2022-23,1,0,4,3,0,0,1,1,3,0
08/Oct/2022,15:00,Worcester,Cancelled,Harlequins,Cancelled,Sixways,home,Unknown,N/A,N/A,N,15,Sat,Oct,2022,2022-23,0,0,0,0,0,0,0,0,0,0
08/Oct/2022,15:00,Harlequins,Cancelled,Worcester,Cancelled,Sixways,away,Unknown,N/A,N/A,N,15,Sat,Oct,2022,2022-23,0,0,0,0,0,0,0,0,0,0
09/Oct/2022,15:00,Newcastle,14,Saracens,34,Kingston Park,home,Wayne Barnes,48,L,N,15,Sun,Oct,2022,2022-23,0,1,2,2,0,0,5,3,1,0
09/Oct/2022,15:00,Saracens,34,Newcastle,14,Kingston Park,away,Wayne Barnes,48,W,N,15,Sun,Oct,2022,2022-23,1,0,5,3,1,0,2,2,0,0
09/Oct/2022,15:00,Wasps,36,Northampton,40,Coventry Building Society Arena,home,Adam Leal,76,L,N,15,Sun,Oct,2022,2022-23,2,1,4,2,4,0,5,2,3,0
09/Oct/2022,15:00,Northampton,40,Wasps,36,Coventry Building Society Arena,away,Adam Leal,76,W,N,15,Sun,Oct,2022,2022-23,1,2,5,2,3,0,4,2,4,0
14/Oct/2022,19:45,Sale,37,London Irish,14,AJ Bell Stadium,home,Karl Dickson,51,W,N,19,Fri,Oct,2022,2022-23,1,0,5,3,2,0,2,2,0,0
14/Oct/2022,19:45,London Irish,14,Sale,37,AJ Bell Stadium,away,Karl Dickson,51,L,N,19,Fri,Oct,2022,2022-23,0,1,2,2,0,0,5,3,2,0
15/Oct/2022,15:00,Exeter,Cancelled,Wasps,Cancelled,Sandy Park,home,Unknown,N/A,N/A,N,15,Sat,Oct,2022,2022-23,0,0,0,0,0,0,0,0,0,0
15/Oct/2022,15:00,Wasps,Cancelled,Exeter,Cancelled,Sandy Park,away,Unknown,N/A,N/A,N,15,Sat,Oct,2022,2022-23,0,0,0,0,0,0,0,0,0,0
15/Oct/2022,15:00,Gloucester,31,Bristol,28,Kingsholm,home,Wayne Barnes,59,W,N,15,Sat,Oct,2022,2022-23,1,2,4,4,1,0,4,4,0,0
15/Oct/2022,15:00,Bristol,28,Gloucester,31,Kingsholm,away,Wayne Barnes,59,L,N,15,Sat,Oct,2022,2022-23,2,1,4,4,0,0,4,4,1,0
15/Oct/2022,15:00,Northampton,32,Newcastle,31,Franklin's Gardens,home,Jack Makepeace,63,W,N,15,Sat,Oct,2022,2022-23,1,2,5,2,1,0,5,3,0,0
15/Oct/2022,15:00,Newcastle,31,Northampton,32,Franklin's Gardens,away,Jack Makepeace,63,L,N,15,Sat,Oct,2022,2022-23,2,1,5,3,0,0,5,2,1,0
15/Oct/2022,15:00,Saracens,37,Bath,31,StoneX Stadium,home,Luke Pearce,68,W,N,15,Sat,Oct,2022,2022-23,1,2,4,4,3,0,4,4,1,0
15/Oct/2022,15:00,Bath,31,Saracens,37,StoneX Stadium,away,Luke Pearce,68,L,N,15,Sat,Oct,2022,2022-23,2,1,4,4,1,0,4,4,3,0
16/Oct/2022,15:00,Harlequins,19,Leicester,27,Twickenham Stoop,home,Adam Leal,46,L,N,15,Sun,Oct,2022,2022-23,0,1,3,2,0,0,4,2,1,0
