,date,time,team1Name,team1Score,team2Name,team2Score,venue,referee,totalScore,winner,extraTime,month,year,season,avgHomeScore,avgAwayScore,avgTotalScore,avgHomeScoreByMonth,avgHomeScoreByYear,avgHomeScoreBySeason,avgHomeScoreByTeam,avgAwayScoreByMonth,avgAwayScoreByYear,avgAwayScoreBySeason,avgAwayScoreByTeam,avgTotalScoreByMonth,avgTotalScoreByYear,avgTotalScoreBySeason,avgHomeScoreByTeamByMonth,avgHomeScoreByTeamByYear,avgHomeScoreByTeamBySeason,avgAwayScoreByTeamByMonth,avgAwayScoreByTeamByYear,avgAwayScoreByTeamBySeason
20,25/Sep/2010,14:15,Bath,31,Sale Sharks,16,Recreation Ground,N/A,47,H,N,Sep,2010,2010-11,25.53,20.8,46.33,27.03,23.75,23.46,24.21,22.25,18.05,18.07,19.99,49.28,41.8,41.53,30.64,14.6,20.0,21.77,16.83,17.82
21,12/Sep/2010,14:15,Saracens,28,Sale Sharks,13,Vicarage Road,Wayne Barnes,41,H,N,Sep,2010,2010-11,25.53,20.8,46.33,27.03,23.75,23.46,31.18,22.25,18.05,18.07,19.99,49.28,41.8,41.53,33.6,21.0,22.33,21.77,16.83,17.82
22,11/Sep/2010,15:00,Gloucester,22,Leeds Carnegie,21,Kingsholm,N/A,43,H,N,Sep,2010,2010-11,25.53,20.8,46.33,27.03,23.75,23.46,26.32,22.25,18.05,18.07,15.91,49.28,41.8,41.53,25.19,23.0,30.73,13.5,15.6,15.91
23,25/Sep/2010,15:00,Leicester Tigers,48,Leeds Carnegie,6,Welford Road,N/A,54,H,N,Sep,2010,2010-11,25.53,20.8,46.33,27.03,23.75,23.46,26.91,22.25,18.05,18.07,15.91,49.28,41.8,41.53,29.83,37.0,29.69,13.5,15.6,15.91
24,30/Oct/2010,14:30,Northampton Saints,34,Newcastle Falcons,13,Franklin’s Gardens,Nigel Owens,47,H,N,Oct,2010,2010-11,25.53,20.8,46.33,24.99,23.75,23.46,27.63,20.42,18.05,18.07,17.24,45.42,41.8,41.53,32.76,30.8,29.18,15.71,15.8,14.64
25,02/Oct/2010,15:00,Harlequins,23,Newcastle Falcons,12,Twickenham Stoop,N/A,35,H,N,Oct,2010,2010-11,25.53,20.8,46.33,24.99,23.75,23.46,26.66,20.42,18.05,18.07,17.24,45.42,41.8,41.53,29.68,27.33,25.55,15.71,15.8,14.64
26,23/Oct/2010,15:00,Gloucester,33,Harlequins,26,Kingsholm,N/A,59,H,N,Oct,2010,2010-11,25.53,20.8,46.33,24.99,23.75,23.46,26.32,20.42,18.05,18.07,22.21,45.42,41.8,41.53,24.06,23.0,30.73,24.46,19.8,18.27
27,22/Oct/2010,20:00,Newcastle Falcons,13,Saracens,15,Kingston Park,N/A,28,A,N,Oct,2010,2010-11,25.53,20.8,46.33,24.99,23.75,23.46,18.92,20.42,18.05,18.07,24.17,45.42,41.8,41.53,17.4,16.5,18.09,24.0,17.4,20.83
28,01/Oct/2010,20:05,Bath,3,Gloucester,18,Recreation Ground,N/A,21,A,N,Oct,2010,2010-11,25.53,20.8,46.33,24.99,23.75,23.46,24.21,20.42,18.05,18.07,20.71,45.42,41.8,41.53,20.62,14.6,20.0,23.07,12.5,16.67
29,30/Oct/2010,17:30,Gloucester,19,Leicester Tigers,12,Kingsholm,Wayne Barnes,31,H,N,Oct,2010,2010-11,25.53,20.8,46.33,24.99,23.75,23.46,26.32,20.42,18.05,18.07,21.65,45.42,41.8,41.53,24.06,23.0,30.73,24.7,20.8,21.55
