,date,time,team1Name,team1Score,team2Name,team2Score,venue,referee,totalScore,winner,month,year,season,avgHomeScore,avgAwayScore,avgTotalScore,avgHomeScoreByMonth,avgHomeScoreByYear,avgHomeScoreBySeason,avgHomeScoreByVenue,avgHomeScoreByTeam,avgAwayScoreByMonth,avgAwayScoreByYear,avgAwayScoreBySeason,avgAwayScoreByVenue,avgAwayScoreByTeam,avgTotalScoreByMonth,avgTotalScoreByYear,avgTotalScoreBySeason,avgTotalScoreByVenue,avgHomeScoreByTeamByMonth,avgHomeScoreByTeamByYear,avgHomeScoreByTeamBySeason,avgHomeScoreByTeamByVenue,avgHomeScoreByTeamAgainstOpponent,avgAwayScoreByTeamByMonth,avgAwayScoreByTeamByYear,avgAwayScoreByTeamBySeason,avgAwayScoreByTeamByVenue,avgAwayScoreByTeamAgainstOpponent,avgHomeLast5Results,avgAwayLast5Results,avgHomeLast3ResultsAgainstOpponent,avgAwayLast3ResultsAgainstOpponent,homeWinPercentage,awayWinPercentage
20,2011-10-09,15:00,Saracens,25,Newcastle,5,Vicarage Road,N/A,30,H,Oct,2011,2011-12,23.09,18.39,41.47,21.63,23.01,22.71,22.7,21.78,18.66,18.59,18.7,12.65,15.59,40.29,41.59,41.41,35.35,20.0,21.64,21.18,22.7,24.5,11.25,14.42,16.55,7.0,7.0,24.4,18.2,24.5,7.0,78.26086956521739%,13.636363636363635%
21,2012-03-23,19:45,Worcester,19,Newcastle,9,Sixways,N/A,28,H,Mar,2012,2011-12,23.09,18.39,41.47,25.17,22.66,22.71,16.64,16.64,17.6,18.27,18.7,16.0,15.59,42.77,40.93,41.41,32.64,19.0,19.6,16.64,16.64,19.0,9.0,18.2,16.55,9.0,9.0,19.6,18.2,19.0,9.0,54.54545454545454%,13.636363636363635%
22,2010-09-17,19:45,Sale,21,Harlequins,17,Edgeley Park,Dave Pearson,38,H,Sep,2010,2010-11,23.09,18.39,41.47,25.45,23.75,23.46,21.29,21.23,19.71,18.05,18.07,22.81,18.91,45.16,41.8,41.53,44.1,28.75,22.5,21.45,21.29,15.5,23.0,19.8,18.27,20.5,20.5,19.2,16.6,15.5,20.5,54.54545454545454%,45.45454545454545%
23,2012-05-05,14:00,Sale,10,Harlequins,24,Edgeley Park,Martin Fox,34,A,May,2012,2011-12,23.09,18.39,41.47,28.28,22.66,22.71,21.29,21.23,16.17,18.27,18.7,22.81,18.91,44.44,40.93,41.41,44.1,10.0,19.2,21.0,21.29,15.5,24.0,16.6,19.55,20.5,20.5,19.2,16.6,15.5,20.5,54.54545454545454%,45.45454545454545%
24,2011-02-12,15:00,Exeter,20,Harlequins,6,Sandy Park,N/A,26,H,Feb,2011,2010-11,23.09,18.39,41.47,19.94,23.01,23.46,18.45,18.45,16.39,18.59,18.07,14.0,18.91,36.33,41.59,41.53,32.45,14.25,18.0,18.09,18.45,14.5,12.67,19.5,18.27,8.5,8.5,19.6,16.6,14.5,8.5,59.09090909090909%,45.45454545454545%
25,2011-12-31,15:45,Exeter,9,Harlequins,11,Sandy Park,N/A,20,A,Dec,2011,2011-12,23.09,18.39,41.47,21.9,23.01,22.71,18.45,18.45,18.0,18.59,18.7,14.0,18.91,39.9,41.59,41.41,32.45,12.0,18.0,18.82,18.45,14.5,15.67,19.5,19.55,8.5,8.5,19.6,16.6,14.5,8.5,59.09090909090909%,45.45454545454545%
26,2010-09-04,16:30,Wasps,29,Harlequins,29,Twickenham Stadium,Chris White,58,D,Sep,2010,2010-11,23.09,18.39,41.47,25.45,23.75,23.46,22.0,21.64,19.71,18.05,18.07,24.33,18.91,45.16,41.8,41.53,46.33,29.75,26.6,25.82,19.5,22.5,23.0,19.8,18.27,29.0,25.5,16.6,16.6,22.5,25.5,45.45454545454545%,45.45454545454545%
27,2011-12-04,16:00,Wasps,16,Harlequins,22,Adams Park,Dean Richards,38,A,Dec,2011,2011-12,23.09,18.39,41.47,21.9,23.01,22.71,21.85,21.64,18.0,18.59,18.7,21.1,18.91,39.9,41.59,41.41,42.95,20.0,23.64,17.45,21.85,22.5,15.67,19.5,19.55,22.0,25.5,16.6,16.6,22.5,25.5,45.45454545454545%,45.45454545454545%
28,2011-02-26,15:00,London Irish,15,Harlequins,9,Madejski Stadium,N/A,24,H,Feb,2011,2010-11,23.09,18.39,41.47,19.94,23.01,23.46,27.95,28.0,16.39,18.59,18.07,21.65,18.91,36.33,41.59,41.53,49.6,20.33,26.67,26.82,27.95,19.5,12.67,19.5,18.27,9.0,19.0,29.4,16.6,19.5,19.0,63.63636363636363%,45.45454545454545%
29,2011-09-03,14:00,London Irish,24,Harlequins,29,Twickenham Stadium,Greg Garner,53,A,Sep,2011,2011-12,23.09,18.39,41.47,25.45,23.01,22.71,22.0,28.0,19.71,18.59,18.7,24.33,18.91,45.16,41.59,41.41,46.33,31.5,26.67,29.18,28.5,19.5,23.0,19.5,19.55,29.0,19.0,29.4,16.6,19.5,19.0,63.63636363636363%,45.45454545454545%
30,2011-01-01,15:00,Northampton,13,Harlequins,16,Franklin's Gardens,N/A,29,A,Jan,2011,2010-11,23.09,18.39,41.47,20.45,23.01,23.46,28.73,28.73,15.05,18.59,18.07,16.41,18.91,35.5,41.59,41.53,45.14,18.5,27.92,29.18,28.73,18.5,9.5,19.5,18.27,9.5,9.5,28.6,16.6,18.5,9.5,77.27272727272727%,45.45454545454545%
31,2012-01-06,19:45,Northampton,24,Harlequins,3,Franklin's Gardens,Dave Pearson,27,H,Jan,2012,2011-12,23.09,18.39,41.47,20.45,22.66,22.71,28.73,28.73,15.05,18.27,18.7,16.41,18.91,35.5,40.93,41.41,45.14,18.5,28.6,28.27,28.73,18.5,9.5,16.6,19.55,9.5,9.5,28.6,16.6,18.5,9.5,77.27272727272727%,45.45454545454545%
32,2011-04-24,15:00,Leeds,3,Harlequins,38,Headingley,Martin Fox,41,A,Apr,2011,2010-11,23.09,18.39,41.47,23.0,23.01,23.46,12.73,12.73,23.36,18.59,18.07,21.18,18.91,46.36,41.59,41.53,33.91,15.0,14.14,12.73,12.73,3.0,26.5,19.5,18.27,38.0,38.0,15.0,16.6,3.0,38.0,27.27272727272727%,45.45454545454545%
33,2010-10-23,15:00,Gloucester,33,Harlequins,26,Kingsholm,N/A,59,H,Oct,2010,2010-11,23.09,18.39,41.47,21.63,23.75,23.46,27.95,27.95,18.66,18.05,18.07,18.5,18.91,40.29,41.8,41.53,46.45,25.5,23.0,30.73,27.95,31.0,26.5,19.8,18.27,24.5,24.5,24.4,16.6,31.0,24.5,77.27272727272727%,45.45454545454545%
34,2012-02-25,18:00,Gloucester,29,Harlequins,23,Kingsholm,Dave Pearson,52,H,Feb,2012,2011-12,23.09,18.39,41.47,19.94,22.66,22.71,27.95,27.95,16.39,18.27,18.7,18.5,18.91,36.33,40.93,41.41,46.45,26.33,24.4,25.18,27.95,31.0,12.67,16.6,19.55,24.5,24.5,24.4,16.6,31.0,24.5,77.27272727272727%,45.45454545454545%
35,2010-11-19,19:45,Leicester,18,Harlequins,13,Welford Road,N/A,31,H,Nov,2010,2010-11,23.09,18.39,41.47,22.12,23.75,23.46,29.71,29.24,16.88,18.05,18.07,18.75,18.91,39.0,41.8,41.53,48.46,28.67,37.0,29.69,29.71,18.0,19.5,19.8,18.27,20.0,20.0,34.6,16.6,18.0,20.0,72.0%,45.45454545454545%
36,2011-10-08,16:45,Leicester,18,Harlequins,27,Welford Road,N/A,45,A,Oct,2011,2011-12,23.09,18.39,41.47,21.63,23.01,22.71,29.71,29.24,18.66,18.59,18.7,18.75,18.91,40.29,41.59,41.41,48.46,19.5,24.08,28.75,29.71,18.0,26.5,19.5,19.55,20.0,20.0,34.6,16.6,18.0,20.0,72.0%,45.45454545454545%
37,2011-04-16,14:15,Bath,19,Harlequins,15,Recreation Ground,Dave Pearson,34,H,Apr,2011,2010-11,23.09,18.39,41.47,23.0,23.01,23.46,20.5,20.5,23.36,18.59,18.07,17.64,18.91,46.36,41.59,41.53,38.14,20.67,22.55,20.0,20.5,16.0,26.5,19.5,18.27,20.5,20.5,20.0,16.6,16.0,20.5,59.09090909090909%,45.45454545454545%
38,2011-11-05,14:15,Bath,13,Harlequins,26,Recreation Ground,Dean Richards,39,A,Nov,2011,2011-12,23.09,18.39,41.47,22.12,23.01,22.71,20.5,20.5,16.88,18.59,18.7,17.64,18.91,39.0,41.59,41.41,38.14,10.67,22.55,21.0,20.5,16.0,19.5,19.5,19.55,20.5,20.5,20.0,16.6,16.0,20.5,59.09090909090909%,45.45454545454545%
39,2010-12-05,15:00,Saracens,26,Harlequins,14,Vicarage Road,N/A,40,H,Dec,2010,2010-11,23.09,18.39,41.47,21.9,23.75,23.46,22.7,21.78,18.0,18.05,18.07,12.65,18.91,39.9,41.8,41.53,35.35,18.0,21.0,22.33,22.7,22.5,15.67,19.8,18.27,14.0,19.0,24.4,16.6,22.5,19.0,78.26086956521739%,45.45454545454545%
40,2012-03-31,15:00,Saracens,19,Harlequins,24,Wembley Stadium,Greg Garner,43,A,Mar,2012,2011-12,23.09,18.39,41.47,25.17,22.66,22.71,16.0,21.78,17.6,18.27,18.7,15.0,18.91,42.77,40.93,41.41,31.0,20.33,22.83,21.18,16.0,22.5,17.0,16.6,19.55,24.0,19.0,24.4,16.6,22.5,19.0,78.26086956521739%,45.45454545454545%
41,2011-09-24,15:00,Worcester,15,Harlequins,17,Sixways,Chris White,32,A,Sep,2011,2011-12,23.09,18.39,41.47,25.45,23.01,22.71,16.64,16.64,19.71,18.59,18.7,16.0,18.91,45.16,41.59,41.41,32.64,14.67,14.17,16.64,16.64,15.0,23.0,19.5,19.55,17.0,17.0,19.6,16.6,15.0,17.0,54.54545454545454%,45.45454545454545%
42,2011-03-04,20:00,Newcastle,33,Harlequins,18,Kingston Park,N/A,51,H,Mar,2011,2010-11,23.09,18.39,41.47,25.17,23.01,23.46,16.73,16.73,17.6,18.59,18.07,19.5,18.91,42.77,41.59,41.53,36.23,21.33,18.38,18.09,16.73,21.0,17.0,19.5,18.27,13.5,13.5,12.6,16.6,21.0,13.5,31.818181818181817%,45.45454545454545%
