,date,time,team1Name,team1Score,team2Name,team2Score,venue,referee,totalScore,winner,day,month,year,season,avgHomeScore,avgAwayScore,avgTotalScore,avgHomeScoreByMonth,avgHomeScoreByYear,avgHomeScoreBySeason,avgHomeScoreByVenue,avgHomeScoreByTeam,avgAwayScoreByMonth,avgAwayScoreByYear,avgAwayScoreBySeason,avgAwayScoreByVenue,avgAwayScoreByTeam,avgTotalScoreByMonth,avgTotalScoreByYear,avgTotalScoreBySeason,avgTotalScoreByVenue,avgHomeScoreByTeamByMonth,avgHomeScoreByTeamByYear,avgHomeScoreByTeamBySeason,avgHomeScoreByTeamByVenue,avgHomeScoreByTeamAgainstOpponent,avgAwayScoreByTeamByMonth,avgAwayScoreByTeamByYear,avgAwayScoreByTeamBySeason,avgAwayScoreByTeamByVenue,avgAwayScoreByTeamAgainstOpponent,avgHomeLast5Scores,avgHomeLast5ScoresAgainst,avgHomeLast3ResultsAgainstOpponent,avgAwayLast3ResultsAgainstOpponent,homeWinPercentage,awayWinPercentage
20,2019-03-02,15:00,Leicester,19,Wasps,14,Welford Road,JP Doyle,33,H,Sat,Mar,2019,2018-19,25.53,20.79,46.32,25.91,25.38,26.84,26.99,26.91,20.79,20.14,21.13,19.49,22.14,46.7,45.52,47.97,46.47,28.93,20.78,27.36,26.99,22.17,19.53,17.33,19.18,14.67,14.67,29.4,25.2,21.67,9.0,71.73913043478261%,36.36363636363637%
21,2020-02-15,15:00,Leicester,18,Wasps,9,Welford Road,Karl Dickson,27,H,Sat,Feb,2020,2019-20,25.53,20.79,46.32,24.06,26.97,26.4,26.99,26.91,19.15,21.69,20.47,19.49,22.14,43.21,48.65,46.87,46.47,28.84,22.8,20.45,26.99,22.17,24.65,25.9,22.08,14.67,14.67,22.0,23.6,21.67,9.0,71.73913043478261%,36.36363636363637%
22,2021-02-20,15:00,Leicester,27,Wasps,8,Welford Road,Craig Maxwell-Keys,35,H,Sat,Feb,2021,2020-21,25.53,20.79,46.32,24.06,27.48,26.85,26.99,26.91,19.15,23.14,22.77,19.49,22.14,43.21,50.62,49.62,46.47,28.84,26.86,27.73,26.99,22.17,24.65,25.15,26.36,14.67,14.67,28.6,26.0,21.67,9.0,71.73913043478261%,36.36363636363637%
23,2022-06-04,15:00,Leicester,20,Wasps,10,Welford Road,Craig Maxwell-Keys,30,H,Sat,Jun,2022,2021-22,25.53,20.79,46.32,35.62,28.22,27.83,26.99,26.91,24.0,24.39,23.63,19.49,22.14,59.62,52.61,51.46,46.47,21.25,32.25,30.29,26.99,22.17,24.5,24.9,23.0,14.67,14.67,41.8,22.6,21.67,9.0,71.73913043478261%,36.36363636363637%
24,2011-01-08,15:00,Harlequins,17,Wasps,10,Twickenham Stoop,N/A,27,H,Sat,Jan,2011,2010-11,25.53,20.79,46.32,23.57,23.01,23.46,25.92,26.66,19.12,18.59,18.07,21.85,22.14,42.69,41.59,41.53,47.76,27.0,27.45,25.55,26.45,25.25,22.5,11.55,12.82,23.36,22.5,29.6,13.4,33.33,34.0,68.88888888888889%,36.36363636363637%
25,2012-04-14,16:30,Harlequins,33,Wasps,17,Twickenham Stoop,N/A,50,H,Sat,Apr,2012,2011-12,25.53,20.79,46.32,26.81,22.83,22.71,25.92,26.66,23.7,18.33,18.7,21.85,22.14,50.51,41.17,41.41,47.76,27.62,26.92,28.15,26.45,25.25,23.69,20.09,15.55,23.36,22.5,22.0,14.0,33.33,34.0,68.88888888888889%,36.36363636363637%
26,2013-02-09,20:00,Harlequins,16,Wasps,17,Twickenham Stoop,JP Doyle,33,A,Sat,Feb,2013,2012-13,25.53,20.79,46.32,24.06,23.78,24.81,25.92,26.66,19.15,18.95,19.37,21.85,22.14,43.21,42.72,44.19,47.76,23.43,19.3,24.64,26.45,25.25,24.65,20.27,20.64,23.36,22.5,25.8,18.2,33.33,34.0,68.88888888888889%,36.36363636363637%
27,2014-02-09,13:00,Harlequins,11,Wasps,10,Twickenham Stoop,Luke Pearce,21,H,Sun,Feb,2014,2013-14,25.53,20.79,46.32,24.06,25.03,22.18,25.92,26.66,19.15,20.78,19.22,21.85,22.14,43.21,45.81,41.4,47.76,23.43,20.5,18.82,26.45,25.25,24.65,18.36,18.55,23.36,22.5,18.2,12.6,33.33,34.0,68.88888888888889%,36.36363636363637%
28,2014-09-20,15:00,Harlequins,26,Wasps,23,Twickenham Stoop,JP Doyle,49,H,Sat,Sep,2014,2014-15,25.53,20.79,46.32,27.03,25.03,27.21,25.92,26.66,22.25,20.78,20.83,21.85,22.14,49.28,45.81,48.04,47.76,26.19,20.5,24.0,26.45,25.25,23.09,18.36,25.91,23.36,22.5,17.4,20.8,33.33,34.0,68.88888888888889%,36.36363636363637%
29,2015-10-16,19:45,Harlequins,26,Wasps,21,Twickenham Stoop,Luke Pearce,47,H,Fri,Oct,2015,2015-16,25.53,20.79,46.32,24.99,25.84,23.9,25.92,26.66,20.42,20.54,19.54,21.85,22.14,45.42,46.38,43.44,47.76,29.68,28.11,28.73,26.45,25.25,17.47,28.62,26.25,23.36,22.5,26.8,23.4,33.33,34.0,68.88888888888889%,36.36363636363637%
30,2017-04-28,19:45,Harlequins,32,Wasps,13,Twickenham Stoop,Wayne Barnes,45,H,Fri,Apr,2017,2016-17,25.53,20.79,46.32,26.81,27.61,26.22,25.92,26.66,23.7,21.88,21.22,21.85,22.14,50.51,49.49,47.44,47.76,27.62,33.36,27.36,26.45,25.25,23.69,25.64,25.64,23.36,22.5,30.8,26.6,33.33,34.0,68.88888888888889%,36.36363636363637%
31,2018-02-11,13:00,Harlequins,22,Wasps,44,Twickenham Stoop,Wayne Barnes,66,A,Sun,Feb,2018,2017-18,25.53,20.79,46.32,24.06,26.3,26.46,25.92,26.66,19.15,22.3,22.11,21.85,22.14,43.21,48.6,48.57,47.76,23.43,22.27,25.73,26.45,25.25,24.65,24.5,27.42,23.36,22.5,36.2,26.4,33.33,34.0,68.88888888888889%,36.36363636363637%
32,2018-12-29,16:00,Harlequins,20,Wasps,13,Twickenham Stadium,Craig Maxwell-Keys,33,H,Sat,Dec,2018,2018-19,25.53,20.79,46.32,24.03,26.3,26.84,27.67,26.66,19.75,22.3,21.13,23.38,22.14,43.78,48.6,47.97,51.05,27.19,22.27,27.55,28.5,25.25,22.36,24.5,19.18,21.4,22.5,30.2,23.6,33.33,34.0,68.88888888888889%,36.36363636363637%
33,2020-09-28,19:45,Harlequins,23,Wasps,32,Twickenham Stoop,Luke Pearce,55,A,Mon,Sep,2020,2019-20,25.53,20.79,46.32,27.03,26.97,26.4,25.92,26.66,22.25,21.69,20.47,21.85,22.14,49.28,48.65,46.87,47.76,26.19,23.11,25.0,26.45,25.25,23.09,25.9,22.08,23.36,22.5,24.4,25.4,33.33,34.0,68.88888888888889%,36.36363636363637%
34,2021-05-09,15:00,Harlequins,48,Wasps,46,Twickenham Stoop,Wayne Barnes,94,H,Sun,May,2021,2020-21,25.53,20.79,46.32,29.94,27.48,26.85,25.92,26.66,22.83,23.14,22.77,21.85,22.14,52.77,50.62,49.62,47.76,26.58,38.67,36.55,26.45,25.25,25.75,25.15,26.36,23.36,22.5,41.4,21.0,33.33,34.0,68.88888888888889%,36.36363636363637%
