,date,time,team1Name,team1Score,team1Bps,team2Name,team2Score,team2Bps,venue,referee,totalScore,winner,hour,day,month,year,season,team1Tries,team1Conversions,team1Penalties,team1DropGoals,team2Tries,team2Conversions,team2Penalties,team2DropGoals,avgLast5Scores,avgLast5ScoresAgainst,avgLast5Bps,avgLast5BpsAgainst,avgLast5Tries,avgLast5Conversions,avgLast5Penalties,avgLast5DropGoals,avgLast5TriesAgainst,avgLast5ConversionsAgainst,avgLast5PenaltiesAgainst,avgLast5DropGoalsAgainst,team1Code,team2Code,monthCode,venueCode,dayCode,refereeCode,seasonCode,targetCode
202,2015-03-08,15:00,Newcastle,12,1,Leicester,16,0,Kingston Park,Luke Pearce,28,A,15,Sun,Mar,2015,2014-15,2,1,0,0,1,1,3,0,25.2,27.4,0.6,0.4,3.6,2.4,0.8,0.0,3.2,2.4,2.2,0.0,7,4,4,5,2,7,0,0
205,2015-03-27,19:45,Wasps,30,0,Northampton,52,1,Franklin's Gardens,Craig Maxwell-Keys,82,H,19,Fri,Mar,2015,2014-15,3,3,3,0,7,4,3,0,27.0,23.0,0.6,0.2,3.6,2.4,1.4,0.0,2.4,1.6,2.6,0.0,11,8,4,2,0,1,0,1
204,2015-03-27,19:45,Northampton,52,1,Wasps,30,0,Franklin's Gardens,Craig Maxwell-Keys,82,H,19,Fri,Mar,2015,2014-15,7,4,3,0,3,3,3,0,18.6,17.6,0.0,0.4,2.2,1.4,1.6,0.0,1.4,1.4,2.6,0.0,8,11,4,2,0,1,0,1
210,2015-03-28,15:15,Saracens,42,1,Harlequins,14,0,Wembley Stadium,Wayne Barnes,56,H,15,Sat,Mar,2015,2014-15,5,4,3,0,1,0,3,0,23.0,19.2,0.4,0.2,2.0,1.4,3.4,0.0,2.4,1.8,1.2,0.0,10,3,4,16,1,11,0,1
208,2015-03-28,15:00,London Irish,22,0,Newcastle,21,1,Madejski Stadium,Greg Garner,43,H,15,Sat,Mar,2015,2014-15,3,2,1,0,2,1,3,0,22.6,18.2,1.0,0.2,2.8,1.6,1.6,0.2,1.6,1.2,2.4,0.2,5,7,4,6,1,3,0,1
207,2015-03-28,15:00,Exeter,18,1,Leicester,25,0,Welford Road,JP Doyle,43,H,15,Sat,Mar,2015,2014-15,2,1,2,0,1,1,6,0,38.8,18.2,0.6,0.2,4.2,3.8,3.4,0.0,2.2,1.2,1.4,0.2,1,4,4,15,1,6,0,1
206,2015-03-28,15:00,Leicester,25,0,Exeter,18,1,Welford Road,JP Doyle,43,H,15,Sat,Mar,2015,2014-15,1,1,6,0,2,1,2,0,17.2,14.6,0.0,0.8,0.8,0.6,3.8,0.2,1.4,0.8,2.0,0.0,4,1,4,15,1,6,0,1
209,2015-03-28,15:00,Newcastle,21,1,London Irish,22,0,Madejski Stadium,Greg Garner,43,H,15,Sat,Mar,2015,2014-15,2,1,3,0,3,2,1,0,21.4,22.8,0.6,0.2,3.2,1.8,0.6,0.0,2.4,1.8,2.4,0.0,7,5,4,6,1,3,0,1
211,2015-03-28,15:15,Harlequins,14,0,Saracens,42,1,Wembley Stadium,Wayne Barnes,56,H,15,Sat,Mar,2015,2014-15,1,0,3,0,5,4,3,0,19.6,23.6,0.4,0.4,1.8,1.4,2.6,0.0,2.2,1.8,3.0,0.0,3,10,4,16,1,11,0,1
212,2015-03-29,14:00,Sale,23,0,Gloucester,6,0,AJ Bell Stadium,Matthew Carley,29,H,14,Sun,Mar,2015,2014-15,2,2,3,0,0,0,2,0,19.4,13.8,0.2,0.2,2.6,2.0,0.8,0.0,1.4,1.0,1.6,0.0,9,2,4,0,2,8,0,1
