,date,team1Name,team2Name,venue,referee,result,day,month,season,avgLast5ScoresTeam1,avgLast5ScoresAgainstTeam1,avgLast5ScoresTeam2,avgLast5ScoresAgainstTeam2,avgLast5BpsTeam1,avgLast5BpsAgainstTeam1,avgLast5BpsTeam2,avgLast5BpsAgainstTeam2,avgLast5TriesTeam1,avgLast5ConversionsTeam1,avgLast5PenaltiesTeam1,avgLast5DropGoalsTeam1,avgLast5TriesAgainstTeam1,avgLast5ConversionsAgainstTeam1,avgLast5PenaltiesAgainstTeam1,avgLast5DropGoalsAgainstTeam1,avgLast5TriesTeam2,avgLast5ConversionsTeam2,avgLast5PenaltiesTeam2,avgLast5DropGoalsTeam2,avgLast5TriesAgainstTeam2,avgLast5ConversionsAgainstTeam2,avgLast5PenaltiesAgainstTeam2,avgLast5DropGoalsAgainstTeam2,targetCode,wonLastGameTeam1,wonLastGameTeam2,team1LastSeasonStanding,team2LastSeasonStanding
986,2014-12-26,London Welsh,London Irish,Madejski Stadium,Greg Garner,L,Fri,Dec,2014-15,7.2,48.2,16.0,36.4,0.0,0.8,0.0,0.6,1.0,0.8,0.2,0.0,7.2,5.2,0.6,0.0,1.4,1.2,2.2,0.0,3.8,3.0,3.8,0.0,0,0.0,0,13,10
1128,2014-12-27,Saracens,Newcastle,Kingston Park,Luke Pearce,W,Sat,Dec,2014-15,34.0,21.4,15.4,13.8,0.4,0.2,0.2,0.0,3.6,2.6,3.6,0.0,1.2,0.8,4.6,0.0,1.6,1.0,1.8,0.0,1.0,0.8,2.2,0.2,1,1.0,0,1,11
637,2014-12-27,Northampton,Harlequins,Twickenham Stadium,Wayne Barnes,W,Sat,Dec,2014-15,31.6,18.2,14.2,17.0,0.6,0.4,0.4,0.4,4.2,2.6,1.8,0.0,2.4,1.6,1.0,0.0,0.8,0.6,3.0,0.0,1.4,0.8,2.8,0.0,1,1.0,1,2,4
5,2014-12-27,Exeter,Bath,The Recreation Ground,JP Doyle,L,Sat,Dec,2014-15,27.4,18.8,28.4,17.6,0.4,0.2,0.4,0.0,2.4,2.0,3.8,0.0,2.0,1.4,2.0,0.0,3.0,2.2,2.8,0.2,1.4,1.4,2.6,0.0,0,0.0,1,8,5
1616,2014-12-27,Newcastle,Saracens,Kingston Park,Luke Pearce,L,Sat,Dec,2014-15,15.4,13.8,34.0,21.4,0.2,0.0,0.4,0.2,1.6,1.0,1.8,0.0,1.0,0.8,2.2,0.2,3.6,2.6,3.6,0.0,1.2,0.8,4.6,0.0,0,0.0,1,11,1
285,2014-12-27,Bath,Exeter,The Recreation Ground,JP Doyle,W,Sat,Dec,2014-15,28.4,17.6,27.4,18.8,0.4,0.0,0.4,0.2,3.0,2.2,2.8,0.2,1.4,1.4,2.6,0.0,2.4,2.0,3.8,0.0,2.0,1.4,2.0,0.0,1,1.0,0,5,8
1445,2014-12-27,Leicester,Sale,AJ Bell Stadium,Tim Wigglesworth,W,Sat,Dec,2014-15,21.2,16.2,19.6,17.4,0.4,0.4,0.2,0.8,1.6,1.2,3.6,0.0,1.2,0.6,3.0,0.0,2.2,1.6,1.8,0.0,1.8,1.2,2.0,0.0,1,0.0,1,3,6
1275,2014-12-27,Harlequins,Northampton,Twickenham Stadium,Wayne Barnes,L,Sat,Dec,2014-15,14.2,17.0,31.6,18.2,0.4,0.4,0.6,0.4,0.8,0.6,3.0,0.0,1.4,0.8,2.8,0.0,4.2,2.6,1.8,0.0,2.4,1.6,1.0,0.0,0,1.0,1,4,2
810,2014-12-27,Sale,Leicester,AJ Bell Stadium,Tim Wigglesworth,L,Sat,Dec,2014-15,19.6,17.4,21.2,16.2,0.2,0.8,0.4,0.4,2.2,1.6,1.8,0.0,1.8,1.2,2.0,0.0,1.6,1.2,3.6,0.0,1.2,0.6,3.0,0.0,0,1.0,0,6,3
1776,2014-12-28,Gloucester,Wasps,Kingsholm,Dean Richards,L,Sun,Dec,2014-15,16.6,23.6,35.8,18.8,0.4,0.0,0.6,0.2,1.2,0.8,3.0,0.0,2.0,1.4,3.6,0.0,4.0,2.8,3.4,0.0,1.6,1.2,2.8,0.0,0,0.0,1,9,7
468,2014-12-28,Wasps,Gloucester,Kingsholm,Dean Richards,W,Sun,Dec,2014-15,35.8,18.8,16.6,23.6,0.6,0.2,0.4,0.0,4.0,2.8,3.4,0.0,1.6,1.2,2.8,0.0,1.2,0.8,3.0,0.0,2.0,1.4,3.6,0.0,1,1.0,0,7,9
