,date,time,team1Name,team1Score,team2Name,team2Score,venue,referee,totalScore,winner,month,year,season,avgHomeScore,avgAwayScore,avgTotalScore,avgHomeScoreByMonth,avgHomeScoreByYear,avgHomeScoreBySeason,avgHomeScoreByVenue,avgHomeScoreByTeam,avgAwayScoreByMonth,avgAwayScoreByYear,avgAwayScoreBySeason,avgAwayScoreByVenue,avgAwayScoreByTeam,avgTotalScoreByMonth,avgTotalScoreByYear,avgTotalScoreBySeason,avgTotalScoreByVenue,avgHomeScoreByTeamByMonth,avgHomeScoreByTeamByYear,avgHomeScoreByTeamBySeason,avgHomeScoreByTeamByVenue,avgAwayScoreByTeamByMonth,avgAwayScoreByTeamByYear,avgAwayScoreByTeamBySeason,avgAwayScoreByTeamByVenue,avgHomeLast5Results,avgAwayLast5Results,avgHomeLast3ResultsAgainstOpponent,avgAwayLast3ResultsAgainstOpponent
55,2016-04-02,15:00,Harlequins,46,Newcastle,25,Twickenham Stoop,Matthew Carley,71,H,Apr,2016,2015-16,25.53,20.79,46.32,26.81,24.56,23.9,25.92,26.66,23.7,19.5,19.54,21.85,17.24,50.51,44.06,43.44,47.76,27.62,26.15,28.73,26.45,22.0,13.08,15.0,15.4,25.6,20.2,32.67,14.33
56,2017-03-25,15:00,Harlequins,53,Newcastle,17,Twickenham Stoop,Tom Foley,70,H,Mar,2017,2016-17,25.53,20.79,46.32,25.91,27.61,26.22,25.92,26.66,20.79,21.88,21.22,21.85,17.24,46.7,49.49,47.44,47.76,28.79,33.36,27.36,26.45,17.54,20.09,14.82,15.4,25.6,20.2,32.67,14.33
57,2018-02-24,14:30,Harlequins,10,Newcastle,28,Twickenham Stoop,Thomas Foley,38,A,Feb,2018,2017-18,25.53,20.79,46.32,24.06,26.3,26.46,25.92,26.66,19.15,22.3,22.11,21.85,17.24,43.21,48.6,48.57,47.76,23.43,22.27,25.73,26.45,15.47,17.42,18.25,15.4,25.6,20.2,32.67,14.33
58,2018-11-16,19:45,Harlequins,20,Newcastle,7,Twickenham Stoop,JP Doyle,27,H,Nov,2018,2018-19,25.53,20.79,46.32,22.73,26.3,26.84,25.92,26.66,18.47,22.3,21.13,21.85,17.24,41.2,48.6,47.97,47.76,22.93,22.27,27.55,26.45,13.77,17.42,17.73,15.4,25.6,20.2,32.67,14.33
59,2021-06-12,15:00,Harlequins,54,Newcastle,26,Twickenham Stoop,N/A,80,H,Jun,2021,2020-21,25.53,20.79,46.32,35.62,27.48,26.85,25.92,26.66,24.0,23.14,22.77,21.85,17.24,59.62,50.62,49.62,47.76,54.0,38.67,36.55,26.45,26.0,18.25,18.44,15.4,25.6,20.2,32.67,14.33
60,2022-03-04,19:45,Harlequins,24,Newcastle,10,Twickenham Stoop,Karl Dickson,34,H,Mar,2022,2021-22,25.53,20.79,46.32,25.91,28.22,27.83,25.92,26.66,20.79,24.39,23.63,21.85,17.24,46.7,52.61,51.46,47.76,28.79,23.91,27.92,26.45,17.54,21.17,21.0,15.4,25.6,20.2,32.67,14.33
61,2011-05-07,15:00,Bath,42,Newcastle,12,Recreation Ground,Wayne Barnes,54,H,May,2011,2010-11,25.53,20.79,46.32,29.94,23.01,23.46,23.49,24.21,22.83,18.59,18.07,21.09,17.24,52.77,41.59,41.53,44.58,33.73,22.55,20.0,23.49,19.11,14.42,14.64,18.0,21.4,20.2,18.33,17.33
62,2012-02-11,14:15,Bath,30,Newcastle,24,Recreation Ground,Dean Richards,54,H,Feb,2012,2011-12,25.53,20.79,46.32,24.06,22.83,22.71,23.49,24.21,19.15,18.33,18.7,21.09,17.24,43.21,41.17,41.41,44.58,23.9,20.75,21.0,23.49,15.47,18.2,16.55,18.0,21.4,20.2,18.33,17.33
63,2014-02-08,15:00,Bath,24,Newcastle,6,The Recreation Ground,Tim Wigglesworth,30,H,Feb,2014,2013-14,25.53,20.79,46.32,24.06,25.03,22.18,25.84,24.21,19.15,20.78,19.22,17.8,17.24,43.21,45.81,41.4,43.64,23.9,27.17,21.64,25.84,15.47,18.2,13.27,13.0,21.4,20.2,18.33,17.33
64,2014-11-15,17:00,Bath,23,Newcastle,14,The Recreation Ground,Ian Tempest,37,H,Nov,2014,2014-15,25.53,20.79,46.32,22.73,25.03,27.21,25.84,24.21,18.47,20.78,20.83,17.8,17.24,41.2,45.81,48.04,43.64,19.0,27.17,32.15,25.84,13.77,18.2,21.18,13.0,21.4,20.2,18.33,17.33
